layer                    M      N      K        us    TFLOPS      GB/s      AI  %TCpeak      %BW
f_b_proj                 1   1536    128       4.0       0.1      99.6     1.0     0.0%     1.2%
f_b_proj                 8   1536    128       4.0       0.8     106.2     7.5     0.0%     1.3%
f_b_proj                16   1536    128       4.1       1.5     109.0    14.1     0.1%     1.4%
f_b_proj                64   1536    128       4.0       6.3     152.4    41.5     0.3%     1.9%
f_b_proj               256   1536    128       4.0      25.1     311.0    80.8     1.0%     3.9%
f_b_proj              1024   1536    128       4.1      98.3     928.0   105.9     4.0%    11.6%
f_b_proj              4096   1536    128       4.9     326.3    2841.5   114.8    13.2%    35.5%
f_b_proj             16384   1536    128      11.2     576.7    4916.1   117.3    23.4%    61.5%
f_b_proj             65536   1536    128      36.9     698.0    5917.9   117.9    28.3%    74.0%

q_b_proj                 1   2304   1536       9.3       0.8     761.9     1.0     0.0%     9.5%
q_b_proj                 8   2304   1536       5.9       9.6    1210.4     7.9     0.4%    15.1%
q_b_proj                16   2304   1536       3.8      29.9    1902.9    15.7     1.2%    23.8%
q_b_proj                64   2304   1536       3.8     117.8    1968.8    59.8     4.8%    24.6%
q_b_proj               256   2304   1536       3.8     472.5    2358.3   200.3    19.2%    29.5%
q_b_proj              1024   2304   1536       5.9    1221.2    2517.8   485.1    49.6%    31.5%
q_b_proj              4096   2304   1536      16.5    1755.7    2333.7   752.3    71.3%    29.2%
q_b_proj             16384   2304   1536      60.7    1911.2    2190.5   872.5    77.6%    27.4%
q_b_proj             65536   2304   1536     230.3    2014.1    2216.1   908.8    81.8%    27.7%

o_proj                   1   7168   1536       4.8       4.6    4614.8     1.0     0.2%    57.7%
o_proj                   8   7168   1536       3.8      46.5    5847.9     7.9     1.9%    73.1%
o_proj                  16   7168   1536       3.8      92.5    5853.8    15.8     3.8%    73.2%
o_proj                  64   7168   1536       4.5     314.9    5169.6    60.9    12.8%    64.6%
o_proj                 256   7168   1536       6.0     933.1    4382.4   212.9    37.9%    54.8%
o_proj                1024   7168   1536      16.5    1369.1    2419.4   565.9    55.6%    30.2%
o_proj                4096   7168   1536      47.1    1914.7    1981.2   966.5    77.7%    24.8%
o_proj               16384   7168   1536     181.8    1984.8    1690.2  1174.3    80.6%    21.1%
o_proj               65536   7168   1536     694.3    2078.4    1674.8  1241.0    84.4%    20.9%

fused_qkv_a_proj         1   2112   7168       8.9       3.4    3396.8     1.0     0.1%    42.5%
fused_qkv_a_proj         8   2112   7168       7.2      33.4    4197.2     8.0     1.4%    52.5%
fused_qkv_a_proj        16   2112   7168       7.4      65.6    4141.0    15.8     2.7%    51.8%
fused_qkv_a_proj        64   2112   7168      10.1     191.6    3111.4    61.6     7.8%    38.9%
fused_qkv_a_proj       256   2112   7168      11.5     672.8    3040.4   221.3    27.3%    38.0%
fused_qkv_a_proj      1024   2112   7168      23.0    1349.0    2144.3   629.1    54.8%    26.8%
fused_qkv_a_proj      4096   2112   7168      74.0    1676.9    1437.3  1166.7    68.1%    18.0%
fused_qkv_a_proj     16384   2112   7168     278.7    1780.0    1199.8  1483.6    72.3%    15.0%
fused_qkv_a_proj     65536   2112   7168    1143.0    1736.1    1090.7  1591.7    70.5%    13.6%

in_proj_qkvgfab          1   6288   7168      16.8       5.4    5352.7     1.0     0.2%    66.9%
in_proj_qkvgfab          8   6288   7168      15.9      45.5    5698.2     8.0     1.8%    71.2%
in_proj_qkvgfab         16   6288   7168      16.7      86.5    5429.4    15.9     3.5%    67.9%
in_proj_qkvgfab         64   6288   7168      15.2     380.4    6057.3    62.8    15.4%    75.7%
in_proj_qkvgfab        256   6288   7168      22.9    1006.9    4233.9   237.8    40.9%    52.9%
in_proj_qkvgfab       1024   6288   7168      61.4    1503.8    1917.6   784.2    61.0%    24.0%
in_proj_qkvgfab       4096   6288   7168     212.1    1741.1     944.8  1842.7    70.7%    11.8%
in_proj_qkvgfab      16384   6288   7168     808.1    1827.7     657.2  2781.0    74.2%     8.2%
in_proj_qkvgfab      65536   6288   7168    3475.6    1699.8     533.4  3186.7    69.0%     6.7%

dense_down_proj          1   7168   8448      25.5       4.8    4754.7     1.0     0.2%    59.4%
dense_down_proj          8   7168   8448      23.7      41.0    5130.4     8.0     1.7%    64.1%
dense_down_proj         16   7168   8448      23.7      81.7    5129.7    15.9     3.3%    64.1%
dense_down_proj         64   7168   8448      27.5     282.1    4480.7    63.0    11.5%    56.0%
dense_down_proj        256   7168   8448      29.1    1065.9    4438.5   240.1    43.3%    55.5%
dense_down_proj       1024   7168   8448     100.6    1233.0    1522.1   810.1    50.0%    19.0%
dense_down_proj       4096   7168   8448     274.8    1805.0     906.2  1991.9    73.3%    11.3%
dense_down_proj      16384   7168   8448    1190.7    1666.5     531.5  3135.6    67.6%     6.6%
dense_down_proj      65536   7168   8448    4811.8    1649.5     450.5  3661.1    67.0%     5.6%

dense_gate_up_proj       1  16896   7168      39.8       6.1    6092.1     1.0     0.2%    76.2%
dense_gate_up_proj       8  16896   7168      38.0      51.0    6388.5     8.0     2.1%    79.9%
dense_gate_up_proj      16  16896   7168      38.8      99.8    6259.3    15.9     4.1%    78.2%
dense_gate_up_proj      64  16896   7168      40.5     383.0    6061.2    63.2    15.5%    75.8%
dense_gate_up_proj     256  16896   7168      50.2    1234.7    5068.2   243.6    50.1%    63.4%
dense_gate_up_proj    1024  16896   7168     142.8    1736.3    2040.7   850.9    70.5%    25.5%
dense_gate_up_proj    4096  16896   7168     568.8    1744.2     772.4  2258.2    70.8%     9.7%
dense_gate_up_proj   16384  16896   7168    2370.8    1673.9     434.8  3850.2    67.9%     5.4%
dense_gate_up_proj   65536  16896   7168    9260.2    1714.2     366.8  4673.9    69.6%     4.6%

